BoatType,Ladies,Year,Military,Veteran,Position,NameUnsorted,Name,Club,Club1,C1,Class,SubClass,Time,Trophies,Record,Notes,Flow,Country,BoatDesign,Finish
Kayak,Male,1954,Civilian,Senior,4,Jenkins John & Gerraed Eric,Gerraed Eric & Jenkins John,County Tech Stafford,County Tech Stafford,1,Senior,,57:10:00,,,,,,,
Kayak,Male,1954,Civilian,Junior,3,Richard D & Kerrigan,Kerrigan & Richard D,RAF,RAF,26,Junior,,59:26:00,,,,,,,
Kayak,Male,1954,Civilian,Senior,5,Bird Arthur & Bird William,Bird Arthur & Bird William,Independent,Independent,1146,Senior,,79:32:00,,,,,,,
Kayak,Male,1955,Civilian,Junior,1,Jolly & Smart Brian,Jolly & Smart Brian,Royal Marines,Royal Marines,187,Junior,,24:14:00,,,,,,,
Kayak,Male,1955,Civilian,Junior,2,Perkes Alan & Cunningham,Cunningham & Perkes Alan,,,44,Junior,,24:28:00,,,,,,,
Kayak,Male,1955,Navy,Senior,1,Mitchell David & Syrad Stewart,Mitchell David & Syrad Stewart,Royal Marines,Royal Marines,187,Senior,,25:32:00,,,,,,,
Folding Boat,Male,1955,Navy,Senior,2,Howe G R & Clarke J P,Clarke J P & Howe G R,Royal Marines,Royal Marines,187,Senior,,26:39:00,Tyne,,,,,,
Kayak,Male,1955,Civilian,Junior,3,Davies P & Harrison J,Davies P & Harrison J,,,44,Junior,,27:16:00,,,,,,,
Kayak,Male,1955,Civilian,Junior,4,Nicholls & Pridder J,Nicholls & Pridder J,,,44,Junior,,28:10:00,,,,,,,
Kayak,Male,1955,Navy,Senior,3,Keane A M & Bacon C,Bacon C & Keane A M,H M Sub Subtle,H M Sub Subtle,1,Senior,,35:42:00,Home Built,,,,,,
Kayak,Male,1955,Civilian,Junior,5,Snooks & Higgs,Higgs & Snooks,,,44,Junior,,36:16:00,,,,,,,
Kayak,Male,1955,Civilian,Senior,4,Griffiths & Beaman,Beaman & Griffiths,Independent,Independent,1146,Senior,,38:19:00,,,,,,,
Kayak,Male,1955,Civilian,Senior,5,Knowlson P M & Webber,Knowlson P M & Webber,Independent,Independent,1146,Senior,,39:06:00,,,,,,,
Kayak,Male,1956,Civilian,Junior,1,Brister J & Rollins R,Brister J & Rollins R,Church Lads Bde,Church Lads Bde,1,Junior,,27:52:00,,,,,,,
Kayak,Male,1956,Navy,Senior,1,Howe G R & Clarke J P,Clarke J P & Howe G R,Royal Marines,Royal Marines,187,Senior,,28:32:00,,,,,,,
Kayak,Male,1956,Civilian,Junior,2,Davies P & Harrison J,Davies P & Harrison J,Felsted School,Felsted School,1,Junior,,29:25:00,,,,,,,
Folding Boat,Male,1956,Army Reserve,Senior,2,Macpherson W A & Marriot R,Macpherson W A & Marriot R,21 (Artists),21 (Artists),62,Senior,,30:41:00,Tyne,,,,,,
Folding Boat,Male,1956,Army Reserve,Senior,3,Twelftree G & Cook J,Cook J & Twelftree G,21 (Artists),21 (Artists),62,Senior,,33:03:00,,,,,,,
Kayak,Male,1956,Navy,Senior,4,Keane A M & Crickard F W,Crickard F W & Keane A M,Royal Navy & Royal Canadian Navy,Royal Navy,54,Senior,,33:46:00,Home Built,,,,,,
Kayak,Male,1956,Civilian,Senior,5,Knowlson P M & Walter F B,Knowlson P M & Walter F B,Cambridge University,Cambridge University,9,Senior,University,38:03:00,,,,,,,
Kayak,Male,1956,Civilian,Senior,6,Edwards S A & Mason,Edwards S A & Mason,RAC Boys Squad,RAC Boys Squad,1,Senior,,43:27:00,,,,,,,
Kayak,Male,1956,Civilian,Senior,7,Cockson F & Vicker J,Cockson F & Vicker J,Oxford University,Oxford University,16,Senior,University,47:21:00,,,,,,,
Kayak,Male,1956,Army,Senior,8,Nobbs C K & Peat W J,Nobbs C K & Peat W J,RMA Sandhurst,RMA Sandhurst,97,Senior,,47:21:00,,,,,,,
Kayak,Male,1956,Army,Senior,9,Rollinson K & Appleby P J,Appleby P J & Rollinson K,RMA Sandhurst,RMA Sandhurst,97,Senior,,49:04:00,,,,,,,
Kayak,Male,1956,RAF,Senior,10,Cubin R & Youd N B,Cubin R & Youd N B,RAF,RAF,26,Senior,,57:34:00,,,,,,,
Kayak,Male,1956,Civilian,Senior,11,Noyes H & Maslen R,Maslen R & Noyes H,Wilts Gazette,Wilts Gazette,1,Senior,,57:50:00,,,,,,,
Kayak,Male,1956,Army,Senior,12,Stockbridge W S & Eley M,Eley M & Stockbridge W S,Royal Artillery,Royal Artillery,17,Senior,,59:48:00,,,,,,,
Kayak,Male,1957,Civilian,Junior,1,Nicholls J & Carmichael E,Carmichael E & Nicholls J,,,44,Junior,,23:36:30,,,,,,,
Kayak,Male,1957,Civilian,Junior,2,Brister J & Rollins R,Brister J & Rollins R,,,44,Junior,,24:08:00,,,,,,,
Kayak,Male,1957,Navy,Senior,1,White B D & Aston K,Aston K & White B D,Royal Marines,Royal Marines,187,Senior,,25:28:15,,,,,,,
Kayak,Male,1957,Civilian,Senior,2,Chase J A & Masser K A,Chase J A & Masser K A,Cambridge University,Cambridge University,9,Senior,University,26:29:30,Home Built,,,,,,
Kayak,Male,1957,Civilian,Senior,3,Graves G H & Bartlett P M,Bartlett P M & Graves G H,Independent,Independent,1146,Senior,,27:23:45,,,,,,,
Kayak,Male,1957,Navy,Senior,4,Farrant P & Shenton T,Farrant P & Shenton T,Royal Marines,Royal Marines,187,Senior,,27:31:30,,,,,,,
Kayak,Male,1957,Navy,Senior,5,Edmonds C J & Howe G R,Edmonds C J & Howe G R,Royal Marines,Royal Marines,187,Senior,,27:38:30,,,,,,,
Kayak,Male,1957,Navy,Senior,6,Doherty J & Howard G,Doherty J & Howard G,Royal Marines,Royal Marines,187,Senior,,29:13:45,,,,,,,
Kayak,Male,1957,Civilian,Junior,3,Jenkins B & Shaw A,Jenkins B & Shaw A,Junior Leaders Regt RA,Junior Leaders Regt RA,6,Junior,,30:20:45,,,,,,,
Kayak,Male,1957,Civilian,Junior,4,Clark P & Hubbert,Clark P & Hubbert,Thameside,Thameside,5,Junior,,30:38:30,,,,,,,
Folding Boat,Male,1957,Navy,Senior,7,Harrington R & Miller P,Harrington R & Miller P,Royal Marines,Royal Marines,187,Senior,,30:40:15,Tyne,,,,,,
Kayak,Male,1957,Civilian,Junior,5,Codlington S & Canham G,Canham G & Codlington S,Whippet,Whippet,6,Junior,,32:19:00,,,,,,,
Kayak,Male,1957,RAF,Senior,8,Youd N B & de Garis D,de Garis D & Youd N B,RAF Cranwell,RAF Cranwell,30,Senior,,36:01:30,,,,,,,
Folding Boat,Male,1957,Army Reserve,Senior,9,Tillier Lt D & Rodda R,Rodda R & Tillier Lt D,21 (Artists),21 (Artists),62,Senior,,36:36:00,Special,,Special Award to Trpr R Rodda who paddled 32.5 miles alone ,,,,
Kayak,Male,1957,Civilian,Senior,10,Edwards Lt S & Mason SQMS L,Edwards Lt S & Mason SQMS L,Whippet,Whippet,6,Senior,,37:13:00,,,,,,,
Kayak,Male,1957,Civilian,Junior,6,Latham J & Crankshaw I,Crankshaw I & Latham J,Junior Leaders Regt RA,Junior Leaders Regt RA,6,Junior,,37:47:00,,,,,,,
Kayak,Male,1957,Civilian,Senior,11,Milgate J & Scott P,Milgate J & Scott P,Metropolitan Police Engineers,Metropolitan Police Engineers,1,Senior,Police,39:43:00,,,,,,,
Kayak,Male,1957,Civilian,Senior,12,Reed J & Smith A,Reed J & Smith A,Thames Police Athletic Club,Thames Police Athletic Club,4,Senior,Police,42:14:00,,,,,,,
Kayak,Male,1957,Civilian,Senior,13,Harris J & Saggerson V,Harris J & Saggerson V,Whippet,Whippet,6,Senior,,50:32:00,,,,,,,
Kayak,Male,1957,Civilian,Senior,14,Campbell J & Mason J W,Campbell J & Mason J W,Hewell Grange,Hewell Grange,1,Senior,,50:46:00,,,,,,,
Kayak,Male,1957,Civilian,Senior,15,Gibbons Mark & Wilkenson B,Gibbons Mark & Wilkenson B,Alperton & Wembley Scouts,Alperton & Wembley Scouts,1,Senior,Scouts,51:44:00,,,,,,,
Kayak,Male,1957,Army,Senior,16,Kingsland B & French M,French M & Kingsland B,RMA Sandhurst,RMA Sandhurst,97,Senior,,52:23:00,,,,,,,
Kayak,Male,1957,RAF,Senior,17,Ticehurst J & Bentley I,Bentley I & Ticehurst J,RAF Cranwell,RAF Cranwell,30,Senior,,53:38:00,,,,,,,
Kayak,Male,1957,Army,Senior,18,Reynolds O & Campbell A,Campbell A & Reynolds O,RMA Sandhurst,RMA Sandhurst,97,Senior,,60:24:30,,,,,,,
Kayak,Male,1957,Army,Senior,19,Panther T & Croft J,Croft J & Panther T,RMA Sandhurst,RMA Sandhurst,97,Senior,,61:54:30,,,,,,,
Kayak,Male,1957,Civilian,Senior,20,Peacock B & Mayne R,Mayne R & Peacock B,Thames Police Athletic Club,Thames Police Athletic Club,4,Senior,Police,63:10:15,,,,,,,
Kayak,Male,1957,RAF,Senior,21,Nuttall J W & Payne F,Nuttall J W & Payne F,RAF Melksham,RAF Melksham,4,Senior,,63:30:15,,,,,,,
Kayak,Male,1957,Civilian,Junior,7,Clarke R & Cooke,Clarke R & Cooke,Thameside,Thameside,5,Junior,,,,,,,,,
Kayak,Male,1958,Navy,Senior,1,Howe G R & Edmonds C J,Edmonds C J & Howe G R,Royal Marines,Royal Marines,187,Senior,,24:27:00,,,,,,,
Kayak,Male,1958,Civilian,Senior,2,Bartlett P M & Graves G H,Bartlett P M & Graves G H,Independent,Independent,1146,Senior,,26:12:00,,,,,,,
Folding Boat,Male,1958,Navy,Senior,3,Carless R & Polli G,Carless R & Polli G,Royal Marines,Royal Marines,187,Senior,,27:10:00,Tyne,,,,,,
Kayak,Male,1958,Army,Senior,4,Redmayne N G & Turner David J,Redmayne N G & Turner David J,RMA Sandhurst,RMA Sandhurst,97,Senior,,29:16:00,,,,,,,
Kayak,Male,1958,Navy,Senior,5,Wright R G & Cheesman M B,Cheesman M B & Wright R G,Royal Marines,Royal Marines,187,Senior,,32:43:00,,,,,,,
Kayak,Male,1958,Army,Senior,6,Gray Q & Davis M,Davis M & Gray Q,Signals Regiment,Signals Regiment,1,Senior,,34:45:00,,,,,,,
Kayak,Male,1958,Civilian,Junior,1,Aldridge R M & Dewsnap Robert George,Aldridge R M & Dewsnap Robert George,Independent,Independent,1146,Junior,,37:52:00,,,,,,,
Kayak,Male,1958,Civilian,Senior,7,Campbell J & Mason J W,Campbell J & Mason J W,Independent,Independent,1146,Senior,,39:20:00,,,,,,,
Kayak,Male,1958,Civilian,Junior,2,Lewis A D & Beck C H,Beck C H & Lewis A D,Junior Leaders Regt,Junior Leaders Regt,1,Junior,,45:02:00,,,According to the Times 8th April 1958 A. Lewis paddled 90 miles alone ,,,,
Kayak,Male,1958,Army,Senior,8,Chapman J R & Armstrong R R,Armstrong R R & Chapman J R,RMA Sandhurst,RMA Sandhurst,97,Senior,,47:14:00,,,,,,,
Kayak,Male,1958,Civilian,Junior,3,Quiller D T & King M A R,King M A R & Quiller D T,Tooting & Balham,Tooting & Balham,7,Junior,,50:36:00,,,,,,,
Kayak,Male,1958,Civilian,Senior,9,Turner R E & Hardy J S,Hardy J S & Turner R E,Metropolitan Police,Metropolitan Police,247,Senior,Police,55:27:00,,,,,,,
Kayak,Male,1958,Civilian,Senior,10,Lewis M A & Rive R,Lewis M A & Rive R,Hayes Youth Club,Hayes Youth Club,1,Senior,,57:26:00,,,,,,,
Kayak,Male,1958,Civilian,Senior,11,Hudson C & Sully J B,Hudson C & Sully J B,Independent,Independent,1146,Senior,,58:04:00,,,,,,,
Kayak,Male,1958,Civilian,Senior,12,Nuttall J W & Smart J,Nuttall J W & Smart J,Melksham Rover Scouts,Melksham Rover Scouts,3,Senior,Scouts,58:46:00,,,,,,,
Kayak,Male,1958,Civilian,Senior,0,Smith Ernist & K1 Single,K1 Single & Smith Ernist,,,44,Senior,,,,,Believed para - unofficial Single (partner ill),,,,
Kayak,Male,1959,Navy,Senior,1,Syrad Stewart & Shenton T,Shenton T & Syrad Stewart,Royal Marines,Royal Marines,187,Senior,,23:17:15,,,,,,,
Kayak,Male,1959,Navy,Senior,2,Howe G R & Edmonds C J,Edmonds C J & Howe G R,Royal Marines,Royal Marines,187,Senior,,23:29:30,,,,,,,
Kayak,Male,1959,Civilian,Junior,1,Jackson T A & Peters J M,Jackson T A & Peters J M,Junior Leaders Regt RA,Junior Leaders Regt RA,6,Junior,,26:38:00,,,,,,,
Kayak,Male,1959,Civilian,Junior,2,Varndell A & King M A R,King M A R & Varndell A,Tooting & Balham,Tooting & Balham,7,Junior,,27:32:00,,,,,,,
Kayak,Male,1959,Army,Senior,3,Crook W & Penley R D,Crook W & Penley R D,Parachute Regiment,Parachute Regiment,8,Senior,,28:10:00,,,,,,,
Folding Boat,Male,1959,Army,Senior,4,White Peter & Sharp B,Sharp B & White Peter,UK Comcan Signal Regt,UK Comcan Signal Regt,2,Senior,,28:56:10,Tyne,,,,,,
Kayak,Male,1959,Civilian,Senior,5,Caira V & Dalton J,Caira V & Dalton J,Thames,Thames,2,Senior,,29:20:30,Home Built,,,,,,
Kayak,Male,1959,Civilian,Junior,3,Alexander E & McKenzie M E,Alexander E & McKenzie M E,Whippet,Whippet,6,Junior,,29:35:15,,,,,,,
Kayak,Male,1959,RAF,Senior,6,Cripps T P & Horne J F,Cripps T P & Horne J F,RAF Abington,RAF Abington,5,Senior,,30:34:35,,,,,,,
Kayak,Male,1959,Civilian,Senior,22,Milgate J & Hardy J S,Hardy J S & Milgate J,Thames Police Athletic Club,Thames Police Athletic Club,4,Senior,Police,30:48:05,,,,,,,
Kayak,Male,1959,Civilian,Senior,7,Campbell J & Mason J W,Campbell J & Mason J W,Independent,Independent,1146,Senior,,31:14:20,,,,,,,
Kayak,Male,1959,Army,Senior,8,Clarke A C & Bonner D E,Bonner D E & Clarke A C,RMA Sandhurst,RMA Sandhurst,97,Senior,,31:14:30,,,,,,,
Kayak,Male,1959,Civilian,Junior,4,Moffatt T & White C,Moffatt T & White C,Independent,Independent,1146,Junior,,31:42:10,,,,,,,
Kayak,Male,1959,Civilian,Senior,9,Grunden C G & Owen M L,Grunden C G & Owen M L,Heath College Cardiff,Heath College Cardiff,1,Senior,,32:41:20,,,,,,,
Kayak,Male,1959,Army,Senior,10,Thorpe A & Norton G,Norton G & Thorpe A,UK Comcan Signal Regt,UK Comcan Signal Regt,2,Senior,,32:58:43,,,,,,,
Kayak,Male,1959,Civilian,Senior,12,Harris J & Chapman T,Chapman T & Harris J,Whippet,Whippet,6,Senior,,36:47:50,,,,,,,
Kayak,Male,1959,Civilian,Junior,5,Gouldsmith C J & Chisholm A J,Chisholm A J & Gouldsmith C J,Tooting & Balham,Tooting & Balham,7,Junior,,36:48:00,,,,,,,
Kayak,Male,1959,Navy,Senior,13,Heaton M J & Cardy R A,Cardy R A & Heaton M J,Royal Marines,Royal Marines,187,Senior,,37:26:15,,,,,,,
Kayak,Male,1959,Navy,Senior,14,Slader K V & Ethelstan M E,Ethelstan M E & Slader K V,Royal Marines,Royal Marines,187,Senior,,37:42:40,,,,,,,
Kayak,Male,1959,Navy,Senior,15,Hodgkinson K J & James P C,Hodgkinson K J & James P C,Royal Marines,Royal Marines,187,Senior,,38:05:50,,,,,,,
Kayak,Male,1959,Civilian,Senior,16,Peacock B & Maynard R D,Maynard R D & Peacock B,Thames Police Athletic Club,Thames Police Athletic Club,4,Senior,Police,38:19:15,,,,,,,
Kayak,Male,1959,Army,Senior,17,Letts R D & Hume R J,Hume R J & Letts R D,RMA Sandhurst,RMA Sandhurst,97,Senior,,39:25:10,,,,,,,
Kayak,Male,1959,RAF,Senior,18,Nuttall J W & Perryman B,Nuttall J W & Perryman B,RAF Melksham,RAF Melksham,4,Senior,,39:40:10,,,,,,,
Kayak,Male,1959,Civilian,Senior,19,Blundell R E & Nash C,Blundell R E & Nash C,Independent,Independent,1146,Senior,,39:55:10,,,,,,,
Kayak,Male,1959,Army,Senior,20,Norris P S & Conner G R,Conner G R & Norris P S,RMA Sandhurst,RMA Sandhurst,97,Senior,,40:02:00,,,,,,,
Kayak,Male,1959,Army,Senior,21,Taylor L & Christopher R,Christopher R & Taylor L,RMA Sandhurst,RMA Sandhurst,97,Senior,,40:05:00,,,,,,,
Kayak,Male,1959,Civilian,Senior,23,Rassie A & Chaplain,Chaplain & Rassie A,Richmond & Independent,Richmond,265,Senior,,41:56:30,,,,,,,
Kayak,Male,1959,Civilian,Senior,24,Tracey D & Turner M J,Tracey D & Turner M J,Waller Barracks,Waller Barracks,1,Senior,,43:36:45,,,,,,,
Kayak,Male,1959,Civilian,Senior,11,Blackford G & Oloenshaw D,Blackford G & Oloenshaw D,Worcester,Worcester,57,Senior,,43:54:00,,,,,,,
Kayak,Male,1959,Army,Senior,25,Reynolds O & Balem E F,Balem E F & Reynolds O,Somerset Light Inf,Somerset Light Inf,1,Senior,,44:43:40,,,,,,,
Kayak,Male,1959,Civilian,Senior,26,Stansfield J M & Eaton D,Eaton D & Stansfield J M,Independent,Independent,1146,Senior,,48:10:05,,,,,,,
Kayak,Male,1959,Civilian,Senior,27,Noble B & Watson T,Noble B & Watson T,Hartlepool Kayac C,Hartlepool Kayac C,1,Senior,,53:25:00,,,,,,,
Kayak,Male,1959,Civilian,Senior,28,Blake B N & Azzarro M J,Azzarro M J & Blake B N,Whippet,Whippet,6,Senior,,53:58:53,,,,,,,
Kayak,Male,1960,Army,Senior,1,Hardy T P & Cann J P,Cann J P & Hardy T P,22,22,13,Senior,,23:01:00,,,,,,,
Kayak,Male,1960,Army,Senior,2,Payne R C & Allen M J,Allen M J & Payne R C,22,22,13,Senior,,24:07:00,,,,,,,
Kayak,Male,1960,Navy,Senior,3,Edmonds C J & Howe G R,Edmonds C J & Howe G R,Royal Marines,Royal Marines,187,Senior,,24:25:00,,,,,,,
Kayak,Male,1960,Civilian,Senior,4,Crook W & Morgan D,Crook W & Morgan D,Lancs Reg & RAF,Lancs Reg,1,Senior,,24:40:00,,,,,,,
Kayak,Male,1960,Army,Senior,5,Keay R J & Repper K E,Keay R J & Repper K E,1 Para,1 Para,10,Senior,,25:07:00,Home Built,,,,,,
Kayak,Male,1960,Civilian,Junior,1,Evans C & Woodhouse B E,Evans C & Woodhouse B E,Radley College,Radley College,3,Junior,,25:20:50,Home Built,,,,,,
Kayak,Male,1960,Civilian,Junior,2,Nelson A & Gittings T,Gittings T & Nelson A,N.S.C.,N.S.C.,1,Junior,,25:23:30,,,,,,,
Kayak,Male,1960,Civilian,Senior,11,Pugh D M & Nash J B,Nash J B & Pugh D M,Duke of Wellington Ad Tg Club,Duke of Wellington Ad Tg Club,2,Senior,,25:28:05,,,,,,,
Kayak,Male,1960,Civilian,Junior,3,Varndell A & King M A R,King M A R & Varndell A,T & B S,T & B S,3,Junior,,25:34:00,,,,,,,
Kayak,Male,1960,Civilian,Junior,4,Boswell J & Roebuck P,Boswell J & Roebuck P,NSC,NSC,2,Junior,,25:36:04,,,,,,,
Kayak,Male,1960,Civilian,Junior,5,Hanley D & Burlinson J,Burlinson J & Hanley D,NSC,NSC,2,Junior,,26:22:50,,,,,,,
Kayak,Male,1960,Civilian,Junior,6,Chisholm J & Gouldsmith J,Chisholm J & Gouldsmith J,T & B S,T & B S,3,Junior,,26:39:00,,,,,,,
